Body_Fat,Density,Weight,BMI,Fat_Free_Weight,Chest,Thigh,Forearm
12.6 ,1.0708 ,154.3 ,23.7 ,134.9 ,93.1 ,59.0 ,27.4 
6.9 ,1.0853 ,173.3 ,23.4 ,161.3 ,93.6 ,58.7 ,28.9 
24.6 ,1.0414 ,154.0 ,24.7 ,116.0 ,95.8 ,59.6 ,25.2 
10.9 ,1.0751 ,184.8 ,24.9 ,164.7 ,101.8 ,60.1 ,29.4 
27.8 ,1.0340 ,184.3 ,25.6 ,133.1 ,97.3 ,63.2 ,27.7 
20.6 ,1.0502 ,210.3 ,26.5 ,167.0 ,104.5 ,66.0 ,30.6 
19.0 ,1.0549 ,181.0 ,26.2 ,146.6 ,105.1 ,58.4 ,27.8 
12.8 ,1.0704 ,176.0 ,23.6 ,153.6 ,99.6 ,60.0 ,29.0 
5.1 ,1.0900 ,191.0 ,24.6 ,181.3 ,100.9 ,62.9 ,31.1 
12.0 ,1.0722 ,198.3 ,25.8 ,174.4 ,99.6 ,63.1 ,30.0 
7.5 ,1.0830 ,186.3 ,23.6 ,172.3 ,101.5 ,59.7 ,29.4 
8.5 ,1.0812 ,216.0 ,26.3 ,197.7 ,103.6 ,66.2 ,30.2 
20.5 ,1.0513 ,180.5 ,26.3 ,143.5 ,102.0 ,63.4 ,28.6 
20.8 ,1.0505 ,205.3 ,28.5 ,162.5 ,104.1 ,66.0 ,31.6 
21.7 ,1.0484 ,187.8 ,27.4 ,147.0 ,101.3 ,69.0 ,30.5 
20.5 ,1.0512 ,162.8 ,26.3 ,129.3 ,99.1 ,63.1 ,26.4 
28.1 ,1.0333 ,195.8 ,27.3 ,140.8 ,101.9 ,64.8 ,30.8 
22.4 ,1.0468 ,209.3 ,29.2 ,162.5 ,107.6 ,66.9 ,31.6 
16.1 ,1.0622 ,183.8 ,28.2 ,154.3 ,106.8 ,64.2 ,30.5 
16.5 ,1.0610 ,211.8 ,27.6 ,176.8 ,106.2 ,65.8 ,30.1 
19.0 ,1.0551 ,179.0 ,27.3 ,145.1 ,103.3 ,63.5 ,30.3 
15.3 ,1.0640 ,200.5 ,29.1 ,169.8 ,111.4 ,63.4 ,32.8 
15.7 ,1.0631 ,140.3 ,21.2 ,118.2 ,86.0 ,57.4 ,25.9 
17.6 ,1.0584 ,148.8 ,21.4 ,122.6 ,86.7 ,54.9 ,26.7 
14.2 ,1.0668 ,151.3 ,23.2 ,129.8 ,90.2 ,58.4 ,28.0 
4.6 ,1.0911 ,159.3 ,21.9 ,151.9 ,89.6 ,55.0 ,28.2 
8.5 ,1.0811 ,131.5 ,20.3 ,120.3 ,88.6 ,51.7 ,27.0 
22.4 ,1.0468 ,148.0 ,22.9 ,114.9 ,97.4 ,57.5 ,26.6 
4.7 ,1.0910 ,133.3 ,22.4 ,127.0 ,93.5 ,50.1 ,27.9 
9.4 ,1.0790 ,160.8 ,23.8 ,145.7 ,97.4 ,58.9 ,26.7 
12.3 ,1.0716 ,182.0 ,23.6 ,159.7 ,100.5 ,57.5 ,27.7 
6.5 ,1.0862 ,160.3 ,22.2 ,149.8 ,93.5 ,58.5 ,26.4 
13.4 ,1.0719 ,168.0 ,23.3 ,142.5 ,93.0 ,57.3 ,30.0 
20.9 ,1.0502 ,218.5 ,30.5 ,172.7 ,111.7 ,67.1 ,31.5 
31.1 ,1.0263 ,247.3 ,32.2 ,170.4 ,117.0 ,71.2 ,31.7 
38.2 ,1.0101 ,191.8 ,32.0 ,118.4 ,118.5 ,61.9 ,29.8 
23.6 ,1.0438 ,202.3 ,29.1 ,154.5 ,106.5 ,63.5 ,30.6 
27.5 ,1.0346 ,196.8 ,29.7 ,142.6 ,105.6 ,66.0 ,30.5 
33.8 ,1.0202 ,363.2 ,48.9 ,240.5 ,136.2 ,87.3 ,29.0 
31.3 ,1.0258 ,203.0 ,31.8 ,139.4 ,114.8 ,61.3 ,31.0 
33.1 ,1.0217 ,262.8 ,39.1 ,175.8 ,128.3 ,72.5 ,32.7 
31.7 ,1.0250 ,205.0 ,29.9 ,140.1 ,106.0 ,70.6 ,28.7 
30.4 ,1.0279 ,217.0 ,31.2 ,151.1 ,113.3 ,67.7 ,29.8 
30.8 ,1.0269 ,212.0 ,29.2 ,146.7 ,106.6 ,65.0 ,31.5 
8.4 ,1.0814 ,125.3 ,19.1 ,114.7 ,85.1 ,50.0 ,23.1 
14.1 ,1.0670 ,164.3 ,21.3 ,141.1 ,96.6 ,58.4 ,27.4 
11.2 ,1.0742 ,133.5 ,20.6 ,118.5 ,88.2 ,53.3 ,26.2 
6.4 ,1.0665 ,148.5 ,20.6 ,139.0 ,89.8 ,52.7 ,26.8 
13.4 ,1.0678 ,135.8 ,20.4 ,117.6 ,92.3 ,52.0 ,25.5 
5.0 ,1.0903 ,127.5 ,20.2 ,121.2 ,83.4 ,50.6 ,25.8 
10.7 ,1.0756 ,158.3 ,21.3 ,141.4 ,90.2 ,52.6 ,25.8 
7.4 ,1.0840 ,139.3 ,20.6 ,129.0 ,89.2 ,51.4 ,26.1 
8.7 ,1.0807 ,137.3 ,21.1 ,125.3 ,89.7 ,49.3 ,26.0 
7.1 ,1.0848 ,152.8 ,19.9 ,142.0 ,93.3 ,52.6 ,27.4 
4.9 ,1.0906 ,136.3 ,21.1 ,129.6 ,87.6 ,51.9 ,27.5 
22.2 ,1.0473 ,198.0 ,26.9 ,154.1 ,107.6 ,57.2 ,30.2 
20.1 ,1.0524 ,181.5 ,27.6 ,145.1 ,100.0 ,62.1 ,28.3 
27.1 ,1.0356 ,201.3 ,29.3 ,146.7 ,111.5 ,61.8 ,30.9 
30.4 ,1.0280 ,202.5 ,28.4 ,141.0 ,115.4 ,59.1 ,28.8 
24.0 ,1.0430 ,179.8 ,29.2 ,136.7 ,104.8 ,60.6 ,29.6 
25.4 ,1.0396 ,216.0 ,28.2 ,161.2 ,112.3 ,61.6 ,31.8 
28.8 ,1.0317 ,178.8 ,26.8 ,127.4 ,102.9 ,60.9 ,29.8 
29.6 ,1.0298 ,193.3 ,27.6 ,136.1 ,107.6 ,61.0 ,29.9 
25.1 ,1.0403 ,178.0 ,27.9 ,133.3 ,105.3 ,60.8 ,29.0 
31.0 ,1.0264 ,205.5 ,29.5 ,141.7 ,105.3 ,65.0 ,31.1 
28.9 ,1.0313 ,183.5 ,28.3 ,130.4 ,103.0 ,64.8 ,30.1 
21.1 ,1.0499 ,151.5 ,21.3 ,119.6 ,90.0 ,55.0 ,27.4 
14.0 ,1.0673 ,154.8 ,21.3 ,133.1 ,95.4 ,54.3 ,27.4 
7.1 ,1.0847 ,155.3 ,22.8 ,144.2 ,89.3 ,56.0 ,28.1 
13.2 ,1.0693 ,156.8 ,21.6 ,136.1 ,94.4 ,51.2 ,27.1 
23.7 ,1.0439 ,167.5 ,23.1 ,127.8 ,97.6 ,56.6 ,27.3 
9.4 ,1.0788 ,146.8 ,21.9 ,132.9 ,88.5 ,58.9 ,27.3 
9.1 ,1.0796 ,160.8 ,20.8 ,146.1 ,93.6 ,52.9 ,27.3 
13.7 ,1.0680 ,125.0 ,21.5 ,107.9 ,87.7 ,50.9 ,25.7 
12.0 ,1.0720 ,143.0 ,23.3 ,125.9 ,93.4 ,55.5 ,27.0 
18.3 ,1.0666 ,148.3 ,22.9 ,121.1 ,91.6 ,54.5 ,27.0 
9.2 ,1.0790 ,162.5 ,23.7 ,147.5 ,91.6 ,56.7 ,29.2 
21.7 ,1.0483 ,177.8 ,26.7 ,139.1 ,102.0 ,55.0 ,25.7 
21.1 ,1.0498 ,161.3 ,23.0 ,127.2 ,96.4 ,53.5 ,26.8 
18.6 ,1.0560 ,171.3 ,25.1 ,139.5 ,102.7 ,56.5 ,28.7 
30.2 ,1.0283 ,163.8 ,25.1 ,114.3 ,97.7 ,54.8 ,27.2 
26.0 ,1.0382 ,150.3 ,23.4 ,111.2 ,97.1 ,54.8 ,25.2 
18.2 ,1.0568 ,190.3 ,25.3 ,155.6 ,103.1 ,58.9 ,29.6 
26.2 ,1.0377 ,170.8 ,24.5 ,126.0 ,101.8 ,56.0 ,27.3 
26.1 ,1.0378 ,168.0 ,24.7 ,124.1 ,101.4 ,56.3 ,26.3 
25.8 ,1.0386 ,167.0 ,26.0 ,123.9 ,98.9 ,54.7 ,27.7 
15.0 ,1.0648 ,157.8 ,24.6 ,134.1 ,97.5 ,57.2 ,28.0 
22.6 ,1.0462 ,160.0 ,26.0 ,123.8 ,104.3 ,57.8 ,28.4 
8.8 ,1.0800 ,176.8 ,23.7 ,161.1 ,97.3 ,61.0 ,29.3 
14.3 ,1.0666 ,176.0 ,23.3 ,150.9 ,96.7 ,60.4 ,29.6 
20.2 ,1.0520 ,177.0 ,25.4 ,141.3 ,99.7 ,58.3 ,27.7 
18.1 ,1.0573 ,179.8 ,26.2 ,147.3 ,101.9 ,58.9 ,28.4 
9.2 ,1.0795 ,165.3 ,23.4 ,150.1 ,97.2 ,56.9 ,28.2 
24.2 ,1.0424 ,192.5 ,26.3 ,145.9 ,106.6 ,58.9 ,29.6 
9.6 ,1.0785 ,184.3 ,23.4 ,166.6 ,99.6 ,57.4 ,27.9 
17.3 ,1.0991 ,224.5 ,26.1 ,185.7 ,113.2 ,61.7 ,30.8 
10.1 ,1.0770 ,188.8 ,24.8 ,169.6 ,99.1 ,60.6 ,30.1 
11.1 ,1.0730 ,162.5 ,25.9 ,143.5 ,99.4 ,62.1 ,27.8 
17.7 ,1.0582 ,156.5 ,23.7 ,128.8 ,95.1 ,54.7 ,27.5 
21.7 ,1.0484 ,197.0 ,26.7 ,154.2 ,107.5 ,62.7 ,30.9 
20.8 ,1.0506 ,198.5 ,25.9 ,157.2 ,106.5 ,59.0 ,31.0 
20.1 ,1.0524 ,173.8 ,23.6 ,138.9 ,99.1 ,59.3 ,26.2 
19.8 ,1.0530 ,172.8 ,24.0 ,138.6 ,96.7 ,60.0 ,29.2 
21.9 ,1.0480 ,196.8 ,25.5 ,153.7 ,103.5 ,59.1 ,30.3 
24.7 ,1.0412 ,177.0 ,26.0 ,133.2 ,104.0 ,59.5 ,27.2 
17.8 ,1.0578 ,165.5 ,24.8 ,136.0 ,93.1 ,54.7 ,29.4 
19.1 ,1.0547 ,200.3 ,26.0 ,162.0 ,105.2 ,61.2 ,28.5 
18.2 ,1.0569 ,203.3 ,26.0 ,166.3 ,110.0 ,55.8 ,29.6 
17.2 ,1.0593 ,194.0 ,24.0 ,160.6 ,110.1 ,57.5 ,30.7 
21.0 ,1.0500 ,168.5 ,24.7 ,133.1 ,97.8 ,57.5 ,26.0 
19.5 ,1.0538 ,170.8 ,25.6 ,137.5 ,96.3 ,61.9 ,28.2 
27.1 ,1.0355 ,183.3 ,26.3 ,133.5 ,108.0 ,63.7 ,27.8 
21.6 ,1.0486 ,178.3 ,25.6 ,139.7 ,99.7 ,62.3 ,31.1 
20.9 ,1.0503 ,163.0 ,23.3 ,128.9 ,93.5 ,61.5 ,27.6 
25.9 ,1.0384 ,175.3 ,24.0 ,129.9 ,100.7 ,59.3 ,27.3 
16.7 ,1.0607 ,158.0 ,23.4 ,131.7 ,97.0 ,55.9 ,26.3 
19.8 ,1.0529 ,177.3 ,23.6 ,142.1 ,96.0 ,58.8 ,28.0 
14.1 ,1.0671 ,179.0 ,24.3 ,153.8 ,99.2 ,56.8 ,29.8 
25.1 ,1.0404 ,191.0 ,24.6 ,143.1 ,95.4 ,64.6 ,29.5 
17.9 ,1.0575 ,187.5 ,25.3 ,153.8 ,101.8 ,58.5 ,28.6 
27.0 ,1.0358 ,206.5 ,26.2 ,150.7 ,104.3 ,58.5 ,31.2 
24.6 ,1.0414 ,185.3 ,25.5 ,139.6 ,99.2 ,57.1 ,29.6 
14.8 ,1.0652 ,160.3 ,23.9 ,136.5 ,99.3 ,60.5 ,28.0 
16.0 ,1.0623 ,151.5 ,23.9 ,127.3 ,94.0 ,58.1 ,27.5 
14.0 ,1.0674 ,161.0 ,25.6 ,138.5 ,98.9 ,58.5 ,29.2 
17.4 ,1.0587 ,167.0 ,26.2 ,137.9 ,101.0 ,60.7 ,30.2 
26.4 ,1.0373 ,177.5 ,26.4 ,130.7 ,98.7 ,60.7 ,30.3 
17.4 ,1.0590 ,152.3 ,23.4 ,125.8 ,95.9 ,53.5 ,28.2 
20.4 ,1.0515 ,192.3 ,25.2 ,153.0 ,103.9 ,61.7 ,29.6 
15.0 ,1.0648 ,165.3 ,23.9 ,140.5 ,96.2 ,57.4 ,27.8 
18.0 ,1.0575 ,171.8 ,23.7 ,140.9 ,97.8 ,57.0 ,26.5 
22.2 ,1.0472 ,171.3 ,24.3 ,133.3 ,94.6 ,60.3 ,28.4 
23.1 ,1.0452 ,197.0 ,25.8 ,151.2 ,103.6 ,61.2 ,28.6 
25.3 ,1.0398 ,157.0 ,24.8 ,117.2 ,100.4 ,56.1 ,29.3 
23.8 ,1.0435 ,168.3 ,24.5 ,128.3 ,98.4 ,56.0 ,29.8 
26.3 ,1.0374 ,186.0 ,26.8 ,137.1 ,104.6 ,58.9 ,28.8 
21.4 ,1.0491 ,166.8 ,23.5 ,131.0 ,92.9 ,58.8 ,28.3 
28.4 ,1.0325 ,187.8 ,24.1 ,134.4 ,97.8 ,63.6 ,28.4 
21.8 ,1.0481 ,168.3 ,23.3 ,131.6 ,98.3 ,58.1 ,27.4 
20.1 ,1.0522 ,212.8 ,26.6 ,169.9 ,104.7 ,66.5 ,29.8 
24.3 ,1.0422 ,176.8 ,24.6 ,133.8 ,98.6 ,59.1 ,27.9 
18.1 ,1.0571 ,173.3 ,25.3 ,141.8 ,99.5 ,60.4 ,28.5 
22.7 ,1.0459 ,167.0 ,25.6 ,129.0 ,102.7 ,57.1 ,27.5 
9.9 ,1.0775 ,159.8 ,21.6 ,143.9 ,92.1 ,56.1 ,27.2 
10.8 ,1.0754 ,188.2 ,22.1 ,168.4 ,96.6 ,59.1 ,29.7 
14.4 ,1.0664 ,156.0 ,21.9 ,133.6 ,92.7 ,56.4 ,28.3 
19.0 ,1.0550 ,208.5 ,27.7 ,168.9 ,102.0 ,71.2 ,30.3 
28.6 ,1.0322 ,206.5 ,29.8 ,147.5 ,110.9 ,68.4 ,29.7 
6.1 ,1.0873 ,143.8 ,19.3 ,135.0 ,92.3 ,51.9 ,25.2 
24.5 ,1.0416 ,223.0 ,31.8 ,168.3 ,114.1 ,67.6 ,30.4 
9.9 ,1.0776 ,152.3 ,22.5 ,137.2 ,92.9 ,56.9 ,29.0 
19.1 ,1.0542 ,241.8 ,30.7 ,195.1 ,108.3 ,72.9 ,33.8 
10.6 ,1.0758 ,146.0 ,19.7 ,130.5 ,88.5 ,53.6 ,26.3 
16.5 ,1.0610 ,156.8 ,24.4 ,130.9 ,94.0 ,56.8 ,28.3 
20.5 ,1.0510 ,200.3 ,26.1 ,159.3 ,101.1 ,62.1 ,29.2 
17.2 ,1.0594 ,171.5 ,21.6 ,142.0 ,92.1 ,57.3 ,27.7 
30.1 ,1.0287 ,205.8 ,30.4 ,143.9 ,105.6 ,68.6 ,30.7 
10.5 ,1.0761 ,182.5 ,24.6 ,163.4 ,98.5 ,60.8 ,28.0 
12.8 ,1.0704 ,136.5 ,20.3 ,119.1 ,88.7 ,50.1 ,34.9 
22.0 ,1.0477 ,177.3 ,24.4 ,138.3 ,101.1 ,59.4 ,28.2 
9.9 ,1.0775 ,151.3 ,20.4 ,136.2 ,94.0 ,52.5 ,26.3 
14.8 ,1.0653 ,196.0 ,25.9 ,167.0 ,103.8 ,61.4 ,29.2 
13.3 ,1.0690 ,184.3 ,24.4 ,159.8 ,98.9 ,64.0 ,30.6 
15.2 ,1.0644 ,140.0 ,19.8 ,118.8 ,89.2 ,52.4 ,26.2 
26.5 ,1.0370 ,218.8 ,29.7 ,160.8 ,111.4 ,63.8 ,31.2 
19.0 ,1.0549 ,217.0 ,28.1 ,175.8 ,107.5 ,64.8 ,33.7 
21.4 ,1.0492 ,166.3 ,25.3 ,130.7 ,99.1 ,55.5 ,28.7 
20.0 ,1.0525 ,224.8 ,30.3 ,179.7 ,108.2 ,63.3 ,33.1 
34.7 ,1.0180 ,228.3 ,33.3 ,149.3 ,114.9 ,74.4 ,31.8 
16.5 ,1.0610 ,172.8 ,25.2 ,144.2 ,99.1 ,60.1 ,29.8 
4.1 ,1.0926 ,152.3 ,23.4 ,146.1 ,92.2 ,54.7 ,27.4 
1.9 ,1.0983 ,125.8 ,20.6 ,123.4 ,90.8 ,50.0 ,25.9 
20.2 ,1.0521 ,177.3 ,24.8 ,141.7 ,100.5 ,57.8 ,28.7 
16.8 ,1.0603 ,176.3 ,24.3 ,146.6 ,98.2 ,59.2 ,28.4 
24.6 ,1.0414 ,226.8 ,31.0 ,170.9 ,115.3 ,69.2 ,21.0 
10.4 ,1.0763 ,145.3 ,21.3 ,130.2 ,96.8 ,50.3 ,26.9 
13.4 ,1.0689 ,151.0 ,23.7 ,130.8 ,92.6 ,60.0 ,26.6 
28.8 ,1.0316 ,241.3 ,33.2 ,171.7 ,119.2 ,69.8 ,29.5 
22.0 ,1.0477 ,187.3 ,27.5 ,146.1 ,102.7 ,64.7 ,30.3 
16.8 ,1.0603 ,234.8 ,29.8 ,195.3 ,109.5 ,69.5 ,32.5 
25.8 ,1.0387 ,219.3 ,28.0 ,162.7 ,108.5 ,68.1 ,29.0 
0.0 ,1.1089 ,118.5 ,18.1 ,118.5 ,79.3 ,47.2 ,24.6 
11.9 ,1.0725 ,145.8 ,22.7 ,128.4 ,95.5 ,54.1 ,28.3 
12.4 ,1.0713 ,159.3 ,23.0 ,139.5 ,92.3 ,58.0 ,26.4 
17.4 ,1.0587 ,170.5 ,21.8 ,140.8 ,98.9 ,55.4 ,28.9 
9.2 ,1.0794 ,167.5 ,23.1 ,152.1 ,89.5 ,57.3 ,29.3 
23.0 ,1.0453 ,232.8 ,29.7 ,179.2 ,117.5 ,67.7 ,31.8 
20.1 ,1.0524 ,210.5 ,28.6 ,168.3 ,107.4 ,63.5 ,30.4 
20.2 ,1.0520 ,202.3 ,27.0 ,161.4 ,109.2 ,62.8 ,32.4 
23.8 ,1.0434 ,185.0 ,28.0 ,141.0 ,103.4 ,61.5 ,29.2 
11.8 ,1.0728 ,153.0 ,22.5 ,135.0 ,91.4 ,54.3 ,27.3 
36.5 ,1.0140 ,244.3 ,29.8 ,155.2 ,115.2 ,68.5 ,31.2 
16.0 ,1.0624 ,193.5 ,27.4 ,162.6 ,104.9 ,60.6 ,30.1 
24.0 ,1.0429 ,224.8 ,28.3 ,170.8 ,106.7 ,65.3 ,29.9 
22.3 ,1.0470 ,162.8 ,21.6 ,126.5 ,92.2 ,60.2 ,27.1 
24.8 ,1.0411 ,180.0 ,27.2 ,135.4 ,101.6 ,61.1 ,29.8 
21.5 ,1.0488 ,156.3 ,23.1 ,122.6 ,97.8 ,57.7 ,27.3 
17.6 ,1.0583 ,168.0 ,23.1 ,138.4 ,92.0 ,62.3 ,27.8 
7.3 ,1.0841 ,167.3 ,22.3 ,155.1 ,94.0 ,57.5 ,30.0 
22.6 ,1.0462 ,170.8 ,26.4 ,132.1 ,103.7 ,58.5 ,28.8 
12.5 ,1.0709 ,178.3 ,25.4 ,155.9 ,102.7 ,60.2 ,28.4 
21.7 ,1.0484 ,150.0 ,22.0 ,117.5 ,91.1 ,55.5 ,26.6 
27.7 ,1.0340 ,200.5 ,27.6 ,144.9 ,107.2 ,68.8 ,28.9 
6.8 ,1.0854 ,184.0 ,23.7 ,171.4 ,100.8 ,60.6 ,29.2 
33.4 ,1.0209 ,223.0 ,32.3 ,148.5 ,121.6 ,63.5 ,30.7 
16.6 ,1.0610 ,208.8 ,27.6 ,174.2 ,105.6 ,63.3 ,23.1 
31.7 ,1.0250 ,166.0 ,27.2 ,113.5 ,100.6 ,58.9 ,29.5 
31.5 ,1.0254 ,195.0 ,26.1 ,133.6 ,102.7 ,60.7 ,31.6 
10.1 ,1.0771 ,160.5 ,22.9 ,144.3 ,99.8 ,53.0 ,27.5 
11.3 ,1.0742 ,159.8 ,22.5 ,141.8 ,92.9 ,56.0 ,26.2 
7.8 ,1.0829 ,140.5 ,21.4 ,129.5 ,91.2 ,51.1 ,28.8 
26.4 ,1.0373 ,216.3 ,27.4 ,159.3 ,115.6 ,63.7 ,31.0 
19.3 ,1.0543 ,168.3 ,23.0 ,135.9 ,98.3 ,56.3 ,27.9 
18.5 ,1.0561 ,194.8 ,27.4 ,158.7 ,103.7 ,60.0 ,30.0 
19.3 ,1.0543 ,172.8 ,22.8 ,139.4 ,98.7 ,57.1 ,26.7 
45.1 ,0.9950 ,219.0 ,37.6 ,120.2 ,119.8 ,62.5 ,29.1 
13.8 ,1.0678 ,149.3 ,21.6 ,128.7 ,92.8 ,53.8 ,26.3 
8.2 ,1.0819 ,154.5 ,22.2 ,141.9 ,93.3 ,54.7 ,25.9 
23.9 ,1.0433 ,199.3 ,27.2 ,151.7 ,106.8 ,63.9 ,30.4 
15.1 ,1.0646 ,154.5 ,22.7 ,131.2 ,93.9 ,53.7 ,25.7 
12.7 ,1.0706 ,153.3 ,24.5 ,151.3 ,99.0 ,57.7 ,29.9 
25.3 ,1.0399 ,230.0 ,31.0 ,171.9 ,119.9 ,64.2 ,32.0 
11.9 ,1.0726 ,161.8 ,25.0 ,142.6 ,94.2 ,59.7 ,27.0 
6.1 ,1.0874 ,142.3 ,22.2 ,133.6 ,92.7 ,54.4 ,26.8 
11.3 ,1.0740 ,179.8 ,26.8 ,159.5 ,106.9 ,57.4 ,31.1 
12.8 ,1.0703 ,126.5 ,20.0 ,110.3 ,88.8 ,50.8 ,22.0 
14.9 ,1.0650 ,169.5 ,25.6 ,144.2 ,101.7 ,56.6 ,29.3 
24.5 ,1.0418 ,198.5 ,25.3 ,149.9 ,105.3 ,64.0 ,30.0 
15.0 ,1.0647 ,174.5 ,25.4 ,148.3 ,104.0 ,58.4 ,30.1 
16.9 ,1.0601 ,167.8 ,25.2 ,139.4 ,98.6 ,55.4 ,29.7 
11.1 ,1.0745 ,147.8 ,24.1 ,131.4 ,99.6 ,53.0 ,27.3 
16.1 ,1.0620 ,182.3 ,24.9 ,152.9 ,103.4 ,59.3 ,29.1 
15.5 ,1.0636 ,175.5 ,24.2 ,148.4 ,100.2 ,57.1 ,29.6 
25.9 ,1.0384 ,161.8 ,25.2 ,119.9 ,94.9 ,56.8 ,26.1 
25.5 ,1.0403 ,157.8 ,24.1 ,117.5 ,97.2 ,54.3 ,28.7 
18.4 ,1.0563 ,168.8 ,26.1 ,137.6 ,104.7 ,54.4 ,26.3 
24.0 ,1.0424 ,191.5 ,25.8 ,145.2 ,104.0 ,59.3 ,28.5 
26.4 ,1.0372 ,219.2 ,31.9 ,161.2 ,117.6 ,63.4 ,29.6 
12.7 ,1.0705 ,155.3 ,22.6 ,135.5 ,95.8 ,61.2 ,28.9 
28.8 ,1.0316 ,189.8 ,30.9 ,135.1 ,106.4 ,59.2 ,30.5 
17.0 ,1.0599 ,127.5 ,20.8 ,105.9 ,93.0 ,50.7 ,24.8 
33.6 ,1.0207 ,224.5 ,33.9 ,149.2 ,119.6 ,61.3 ,30.1 
29.3 ,1.0304 ,234.3 ,31.8 ,165.6 ,119.7 ,63.7 ,30.7 
31.4 ,1.0256 ,227.8 ,30.3 ,156.3 ,115.8 ,65.6 ,29.8 
28.1 ,1.0334 ,199.5 ,29.9 ,143.6 ,118.3 ,58.2 ,29.3 
15.3 ,1.0641 ,155.5 ,22.8 ,131.8 ,97.4 ,54.3 ,27.3 
29.1 ,1.0308 ,215.5 ,30.5 ,152.7 ,113.7 ,63.3 ,32.6 
11.5 ,1.0736 ,134.3 ,21.1 ,118.9 ,89.2 ,49.6 ,25.7 
32.3 ,1.0236 ,201.0 ,29.1 ,136.1 ,108.5 ,59.6 ,28.6 
28.3 ,1.0328 ,186.8 ,30.2 ,133.9 ,111.1 ,60.3 ,27.2 
25.3 ,1.0399 ,190.8 ,27.0 ,142.6 ,108.3 ,56.0 ,29.4 
30.7 ,1.0271 ,207.5 ,29.8 ,143.7 ,112.4 ,59.3 ,30.0 
